"userId","routingStatus.startTime","routingStatus.endTime","routingStatus.routingStatus","primaryPresence.startTime","primaryPresence.endTime","primaryPresence.systemPresence","primaryPresence.organizationPresenceId"
,,,,"2022-07-27T01:32:32.269Z","2022-07-27T01:32:41.161Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-27T01:32:41.161Z","2022-07-27T01:32:42.090Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-27T01:32:42.090Z","2022-07-27T10:07:41.277Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
"67cc9353-2ce8-482e-b8fa-8cdaace2b2d1","2022-04-28T08:06:13.284Z","2022-07-27T03:30:56.792Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.792Z",,"OFF_QUEUE",,,,
"6a0f2791-91a4-4b6a-9792-2f19077e2588",,,,"2022-07-22T05:34:34.560Z","2022-07-22T08:16:23.406Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-22T08:16:23.406Z","2022-07-22T08:28:39.560Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
,,,,"2022-07-22T08:28:39.560Z","2022-07-22T09:01:37.717Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-22T09:01:37.717Z",,"OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5"
"6ad38f4f-097d-4103-b371-b0d6ad4833b6","2022-04-24T17:23:32.027Z","2022-07-27T03:30:56.437Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.437Z",,"OFF_QUEUE",,,,
"6ec549dd-3a90-4f3d-93c3-1f454f3473bb","2022-04-24T17:23:31.792Z","2022-07-27T03:30:56.196Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.196Z",,"OFF_QUEUE",,,,
"8739f1cb-dd89-4ccf-9fc0-ba3d660220a5",,,,"2022-07-22T05:18:08.018Z","2022-07-22T08:22:47.646Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-22T08:22:47.646Z","2022-07-22T08:28:35.863Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-22T08:28:35.863Z","2022-07-22T08:36:07.435Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
,,,,"2022-07-22T08:36:07.435Z","2022-07-22T08:49:34.123Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,,,,"2022-07-22T08:49:34.123Z","2022-07-22T08:54:30.920Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b"
"8739f1cb-dd89-4ccf-9fc0-ba3d660220a5","2022-07-21T10:58:13.642Z","2022-07-22T08:22:47.715Z","OFF_QUEUE","2022-07-22T08:54:30.920Z","2022-07-22T10:13:37.843Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,"2022-07-22T08:22:47.715Z","2022-07-22T08:23:16.278Z","IDLE",,,,
,"2022-07-22T08:23:16.278Z","2022-07-22T08:25:15.466Z","INTERACTING",,,,
,"2022-07-22T08:25:15.466Z","2022-07-22T08:28:35.880Z","IDLE",,,,
,"2022-07-22T08:28:35.880Z","2022-07-22T08:36:07.469Z","OFF_QUEUE",,,,
,"2022-07-22T08:36:07.469Z","2022-07-22T08:36:33.052Z","IDLE",,,,
,"2022-07-22T08:36:33.052Z","2022-07-22T08:36:47.964Z","INTERACTING",,,,
,"2022-07-22T08:36:47.964Z","2022-07-22T08:37:38.348Z","IDLE",,,,
,"2022-07-22T08:37:38.348Z","2022-07-22T08:37:53.287Z","INTERACTING",,,,
,"2022-07-22T08:37:53.287Z","2022-07-22T08:49:21.468Z","IDLE",,,,
,"2022-07-22T08:49:21.468Z","2022-07-22T08:49:21.469Z","INTERACTING",,,,
,"2022-07-22T08:49:21.469Z","2022-07-22T08:49:35.948Z","INTERACTING",,,,
,"2022-07-22T08:49:35.948Z","2022-07-22T08:54:30.946Z","OFF_QUEUE",,,,
,"2022-07-22T08:54:30.946Z","2022-07-22T08:54:31.438Z","IDLE",,,,
,"2022-07-22T08:54:31.438Z","2022-07-22T08:54:50.944Z","INTERACTING",,,,
,"2022-07-22T08:54:50.944Z","2022-07-22T08:55:25.149Z","IDLE",,,,
,"2022-07-22T08:55:25.149Z","2022-07-22T08:55:35.917Z","INTERACTING",,,,
,"2022-07-22T08:55:35.917Z","2022-07-22T09:51:10.865Z","IDLE",,,,
,"2022-07-22T09:51:10.865Z","2022-07-22T09:51:36.704Z","INTERACTING",,,,
,"2022-07-22T09:51:36.704Z","2022-07-22T09:55:47.230Z","IDLE",,,,
,"2022-07-22T09:55:47.230Z","2022-07-22T09:56:09.039Z","INTERACTING",,,,
,"2022-07-22T09:56:09.039Z","2022-07-22T09:58:01.204Z","IDLE",,,,
,"2022-07-22T09:58:01.204Z","2022-07-22T09:58:25.412Z","INTERACTING",,,,
,"2022-07-22T09:58:25.412Z","2022-07-22T09:59:14.799Z","IDLE",,,,
,"2022-07-22T09:59:14.799Z","2022-07-22T10:00:36.675Z","INTERACTING",,,,
,"2022-07-22T10:00:36.675Z","2022-07-22T10:05:54.597Z","IDLE",,,,
,"2022-07-22T10:05:54.597Z","2022-07-22T10:06:09.332Z","INTERACTING",,,,
,"2022-07-22T10:06:09.332Z","2022-07-22T10:07:33.412Z","IDLE",,,,
,"2022-07-22T10:07:33.412Z","2022-07-22T10:07:45.384Z","INTERACTING",,,,
,"2022-07-22T10:07:45.384Z","2022-07-22T10:13:37.859Z","IDLE",,,,
,"2022-07-22T10:13:37.859Z","2022-07-25T02:38:55.054Z","OFF_QUEUE",,,,
,"2022-07-25T02:38:55.054Z","2022-07-25T02:45:56.790Z","IDLE",,,,
,"2022-07-25T02:45:56.790Z","2022-07-25T02:46:27.441Z","INTERACTING",,,,
